Votes,Answers,Views,Question,Summary,Tags,User
0,0,3,Materialize sidenav not working on small devices,"I am using Materialize with Django. Navbar is working fine on large screens, but sidenav is not working on small screens. var elems = document.querySelectorAll('.sidenav'); var sidenavInstance = ...",javascript django materialize,"['Sonali Singh', '1133 bronze badges']"
0,0,3,How to add an unsubscribe functionality in Nodemailer?,"After looking into the docs for Nodemailer, I couldn't find anything about unsubscribing to an email. I am trying to create a Newsletter for my web-app, and I don't want to use emailing services such ...",javascript node.js nodemailer nodemanager,"['GeorGios', '7122 silver badges1414 bronze badges']"
0,0,5,"Next.js only runs getServerSideProps once, not fetching new data when accessed by next/router","I have a Next.js app with SSR where I export a getServerSideProps async function as follows: export const getServerSideProps = getGenericServerSideProps([""""]); getGenericServerSideProps is ...",javascript reactjs next.js next,"['Andrei Flavius', '2311 silver badge44 bronze badges']"
0,0,9,Elements in html not draggable even if draggable=true,"I have this html: <h3 id=""mainCategories"" ondrop=""drop0"" draggable=""true"">Main categories</h3> <ul id=""list""> <li id=""0"" ...",javascript html drag-and-drop draggable,"['Lorenzo Cutrupi', '5533 bronze badges']"
0,1answer,10,Selection of multiple similar HTML elements to store its content in an array Using JavaScript,I want to select h3 element content to be stored in an array. So how to select all h3 elements and store its content. I used querySelectorAll() to select all similar elements but unsuccessful in ...,javascript html arrays queryselector,"['NVC', '1']"
0,0,11,Why does the ready event not fire if the function is async [duplicate],"// Does not fire $(document).ready(async function() { alert(""im ready""); }); // Does fire $(document).ready(function() { alert(""im ready""); }); // Annoying fix $(document)...",javascript jquery async-await dom-events document-ready,"['John', '5,05633 gold badges3333 silver badges6060 bronze badges']"
0,0,11,React component life cycle: what is difference between render and return and happens after the return?,"This is a generalized question about concepts in react component life cycles. Below is some example code. Please treat the code as just a vague reference. const Modal = ({ className, variant, ...",javascript reactjs,"['Kid_Learning_C', '1,07311 gold badge1313 silver badges2525 bronze badges']"
0,0,10,How to load images and description for hotels using travel advisor api,"let cities=['Delhi', 'Goa', 'Hyderabad', 'Kolkata', 'Chennai', 'Agra', 'Jaipur', 'Bengaluru']; let cities_data=[]; for(let i=0; i<cities.length; i++) { var xhttp = new XMLHttpRequest(); ...",javascript,"['asdf_lkjh', '333 bronze badges']"
-1,0,15,TypeError: Cannot read property 'height' of undefined at setNodeHeight on react-pdf/renderer,"I want to generate a multipage pdf with react-pdf/renderer and I have the following error ""TypeError: Cannot read property 'height' of undefined at setNodeHeight"". The problem occurs when I ...",javascript reactjs pdf,"['Pierre Cazeneuve', '2155 bronze badges']"
0,0,9,Accessing field values across multiple HTML pages with JavaScript,I am practicing Django on a dummy project and it contains several HTML pages. The pages have forms that have some numeric fields. I want to perform some calculation and logic to define some particular ...,javascript html django,"['noob87', '7966 bronze badges']"
-1,0,16,Q: can I use react with PHP? [closed],"I was looking for a react.js course and I saw that it's just like node requires port, etc, and the file extension is js, we all know that PHP requires .php, if I'm wrong please correct me and feel ...",javascript php node.js frontend backend,"['BrokenHeart', '122 bronze badges']"
-1,1answer,26,getting id of trigger in javascript,"Let me preface this by making 2 things clear: I am extremely well aware that the way that you send an Id is like this: onclick=""sendMyId(this.id);"" function sendMyId(id){ } Done it what ...",javascript,"['Daniel Bengtsson', '12122 silver badges88 bronze badges']"
-1,3,27,React cannot update state,I can't figure why I can't update my state (see setCoords). The request returns with a 200 code and the elements I'm trying to retrieve exists : Here is my code : const App = () => { const [...,javascript reactjs react-hooks react-state,"['Bonsai Noodle', '1133 bronze badges']"
0,1answer,12,How to hide or show text(years old) if value(selectedPatient.age) is returned? React,"Hello I need to display years old on the screen only when I get the value from selectedPatient.age, visible or hidden import React, { useContext } from 'react'; import { useHistory } from 'react-...",javascript html css reactjs,"['Artemij', '122 bronze badges']"
0,1answer,30,"javascript function, won't return to values?",I'm trying to simplify a javascript function so it's more readable Currently I'm trying to change this function below. export default function generateSentimentLineGraphPoints(items) { /** * ...,javascript reactjs,"['LeCoda', '17922 gold badges2020 silver badges4747 bronze badges']"
-1,0,15,What should I test in React pages? [closed],"I have a set of react components, basically like bootstrap, I have tested that they render the correct styles depending on the props. Now I composed these components to make a page that shows a user ...",javascript reactjs jestjs react-testing-library,"['rksh1997', '75244 silver badges1414 bronze badges']"
-2,0,13,How can I graph an algebraic function and display it on the screen? [closed],"I need to make a website where I can graph an algebraic function and display the graph as a line on a plane. I've tried everything I can, but nothing worked. Maybe there are javascript libraries that ...",javascript,"['Kuzma Morev', '111 bronze badge']"
0,0,6,n8n workflow node Execute Command under Windows does not work with some GUI-related commands,"I’m test-driving Execute Command node of [n8n][1] on Windows. The test command looks like this mshta vbscript:Execute(""msgbox """"this is an action"""", 0,""""action""&...",javascript node.js automation n8n,"['kakyo', '7,71899 gold badges5656 silver badges9797 bronze badges']"
0,0,11,Mongodb aggregate $size not returning results?,"I have data like this: [ { ""_id"": ""60ccb13a21d65f0c7c4c0690"", ""username"": ""testuser"", ""friendRequests"": [ { ""_id""...",javascript node.js mongodb ejs,"['Chan Kim', '10155 bronze badges']"
0,0,17,Control user input on number of array,I have created buttons using the user input and I am doing the search accordingly with my api. But I want to limit to 7 topic and each item user enter new topic then the one of the old topic is gets ...,javascript arrays local-storage,"['Tika Kandel', '1']"
0,1answer,19,How can I append an item to a list in js in reactjs,"I created a Parent Component js file and changed the state fo numbers list by adding 10 to it but it is showing error as there is no push funtion.Could anyone help me with this?? import React, { ...",javascript reactjs list,"['Mayank Jaiswal', '111 bronze badge']"
0,1answer,8,Terminal doesn't launch in vscode even after adding path to cwd,"Terminal doesn't launch in vscode. Shows error as tries to open previous file path. I have changed to desired path in cwd, still gives the same error.",javascript html css visual-studio-code terminal,"['Shaheera Faheem', '1']"
0,0,5,Canvas Platform game JS - Collision,"So, I tried create a platform game, but for 5 days I've had a problem with collision, if my gravity is too great (character falls from high distance), even if conditional exists my object stucks ...",javascript canvas collision gravity,"['Kosa TV', '133 bronze badges']"
0,0,5,Responsive Main Navigation alignment error,"// Menu animation $('.scroll-to-section a[href*=\#]:not([href=\#])').on('click', function() { if (location.pathname.replace(/^//,'') == this.pathname.replace(/^//,'') && location.hostname == ...",javascript html css,"['Vijai Kumar', '1']"
0,1answer,14,is there way store functions looping through them and putting them in a object,"how can i sotre these function in object , looping through all of them and putting them in my storeObject var fn1 = function1(); var fn2 = function2(); var fn3 = function3(); var fn4 = function4(); ...",javascript node.js arrays,"['Fares_Essayeh', '6566 bronze badges']"
0,1answer,14,How to change CSS properties of a page using dynamic URL building with Express?,"Let's say there is an element and I need to simply change the color property: <p id='text'>COLOR</p> <script> document.getElementById('text').style.color = ""red""; </...",javascript express pug dynamic-url,"['IMAGINE PRODUCTIONS', '522 bronze badges']"
0,0,6,How to calculate page load time in percentage using javascript,I want to create a preloader that shows page loading in percentages. I know how to calculate page load time but i need this in percentage. how can i get the percentage of page loading time?,javascript html jquery performance page-load-time,"['kinza', '26522 silver badges99 bronze badges']"
0,0,5,how to handle a lot of request with axios?,"I have a database in SQLite, in it I have several tables with approximately 82000 records, but I need to send them to an API, I use the sqlite module to read it, and so far so good, the problem comes ...",javascript foreach axios request,"['Adonys Valdés', '111 bronze badge']"
0,0,19,Order gets lost (Javascript & Node.js),"Im trying todo an automatic video creation system and have one mayor problem: The problem gets lost here: let fullPath = ""script.txt"" fs.readFile(fullPath, 'UTF-8', async (err, data) =&...",javascript node.js,"['Neotastisch', '511 bronze badge']"
0,0,7,Why when i am searching for something else is deleting the previous contents?,Why when you are searching for something else is deleting the previous contents ?For example first you search for egg and show the contents but then when you search for beef the program deletes the ...,javascript,"['Bleron Mexhuani', '333 bronze badges']"
0,0,9,How to make JS-Coroutines work with ES6 module option?,"I've been writing a Typescript program that depends on the js-coroutines package, but for some reason, it doesn't play nice with the ""module"": ""ES6"" compiler option. The TS ...",javascript typescript coroutine,"['Tespy', '59711 gold badge66 silver badges1616 bronze badges']"
0,0,4,js api for power point addin - is there enough fnctionality to create a proper addin?,"I want to create an addin in Power Point with JS Api for PPt, but it seem to lack functionality. For example , I want to push and pull data to and from the document into the addin taskpane, and i want ...",javascript api powerpoint,"['Milan Cutlac', '1111 bronze badge']"
0,0,7,Can't conversejs override method in class,I have a problem when trying to override the method renderMessageText in the message class. the overriding renderMessageText method not running. How to override this method? const plugin = { ...,javascript converse.js,"['Dong Nguyen', '111 bronze badge']"
