Votes,Answers,Views,Question,Summary,Tags,User
"1
vote",1answer,23,How to add image to quiz results based on results,Trying to display an image based on my character quiz result but I am having issues with the logic behind it. Here a snippet of the code on JSFiddle: https://jsfiddle.net/Daryl13/p047yx91/ if (result =...,javascript html,"['Daryl Howai', '2733 bronze badges']"
2,2,53,I am trying to understand this piece of Netsted objects in Javascript,"I am following a tutorial on YouTube about building projects in Javascript. And this piece of code is supposed to create a Rock, Paper & Scissors game. I understand most part of this code. But my ...",javascript arrays function object,"['StaFa', '2144 bronze badges']"
0,0,12,Jest unit test case fail randomly,Using jest with react testing library. just need to cover the couple of unit test here like tab sequence. This is fail randomly. Using react-testing-libray jest react redux Here is the the full code....,javascript reactjs unit-testing redux jestjs,"['underscore', '5,97755 gold badges3030 silver badges7272 bronze badges']"
"1
vote",1answer,35,"How to run frontend and backend on same port , if I am using vanilla js on frontend and node js on backend?","How to run frontend and backend on same port in rest Apis , if I am using vanilla js on frontend and node js on backend? I found a lot of stuff regarding how to do this for react but nothing about ...",javascript html node.js express httpserver,"['BHANU ARORA', '2544 bronze badges']"
0,0,15,Uncaught TypeError: this.markVisited is not a function [duplicate],"can anyone help on this? I googled it but none of the solutions offered there helped. Consider the following code. It has an error when the markVisited is invoked. I have added a comment there. Also, ...",javascript,"['ShaderOX', '1']"
0,2,37,get text within a dom element but not it's child elements,I am trying to extract the author names from https://theartofliving.com/ultimate-learning-how-to-learn-reading-list/ I just need to run the script in the DevTools console and get the output. Please ...,javascript,"['blueray', '6,52822 gold badges2727 silver badges4848 bronze badges']"
2,1answer,29,How to get the text written in text input,"I'm trying to grab the txt I wrote inside the my <input type=""text""> but it is returning undefined , I tried many ways such as .text() or .html() or e.target.value , all of them ...",javascript html jquery,"['filpthetablescrewyouall', '1544 bronze badges']"
"1
vote",1answer,21,"How to save latitude, longitude in my db. Using leaflet map",I am building an app that uses leaflet map and mongoDB as my db. I want the user to be able to click on a place on the map and edit the details on the marker and then i want to save these places on my ...,javascript mongodb leaflet,"['tokaskol', '1111 bronze badge']"
-3,0,21,If passed string doesnt end with a number it returns to string with null how do conditionally check if end is a number to just add 001 [duplicate],"Your job is to write a function which increments a string, to create a new string. If the string already ends with a number, the number should be incremented by 1. If the string does not end with a ...",javascript regex string,"['Ryan Hartley', '1322 bronze badges']"
0,0,6,Google Spread Sheet with function deleteItem,"I have trouble with my code Javascript. I pass value from Android App to this Js but it notify ""The script completed but did not return any value"". My code javascript function deleteItem(e){ ...",javascript android script,"['Ly Võ', '911 bronze badge']"
-1,1answer,30,Embedded Objects to Arrays,"I was given an existing project where the data structure is below: [ { ""key"": ""username"", ""value"": """" }, { ""key"": &...",javascript jquery arrays json,"['user581733', '37822 gold badges55 silver badges1414 bronze badges']"
"1
vote",0,38,Find a way out of the maze,"II need to write an algorithm to find a way out of the maze, which is 2-dimensional array. I played with the code, but can't it fully understand how should I mark in the code the finish line when no ...",javascript,"['Valerii', '4377 bronze badges']"
-1,0,12,why is regEx returning quote substring escaped wtih \ [closed],"when i'm matching a string with regEx that matches a substring enclosed with quote, it always returns the matched substring escaped with backslash. I tried string created with template literals or ...",javascript regex,"['mes shahdat', '133 bronze badges']"
0,1answer,15,how to build multiple modal for video with javascript in one page without attribute and checkbox,"I need to put several modals for one of my pages. When the user clicks the button, the modal must be opened and a video is displayed in it. This code is for placing only one modal on one page. But I ...",javascript html jquery css video,"['haniye', '3144 bronze badges']"
0,0,22,Knex.js with Postgres returns boolean fields as “0” or “1” instead of booleans,"When I query with Knex.js a Postgres database boolean fields it returns the result as ""0"" or ""1"" (as strings) instead of the boolean values true and false. Is there a way to make ...",javascript postgresql knex.js,"['The Cubear Guy', '23322 silver badges1212 bronze badges']"
0,1answer,21,Update values in array using lib in react-native,"I want to update values in my array using this lib My code so far: import React from ""react""; import { StyleSheet, View, Button, Text } from ""react-native""; import update from &...",javascript react-native,"['Nikola Marinov', '15177 bronze badges']"
0,2,24,how to make a video preview with canvas?,this is my first question here! im trying to make a website that show videos that i make and i want my viewers can see a preview of video when they hover mouse on the a element or element . i just ...,javascript html canvas html5-canvas video-thumbnails,"['Ram', '1']"
"1
vote",2,32,I need each of the first sentences from these JavaScript arrays to display correctly with the day of the week properly included within them,"I have these javascripts to randomly get 2 different sentences, each one from a different set of arrays, to get a different message each new time I click on its printed text (to avoid spam) when ...",javascript html jquery,"['rx65m', '7155 bronze badges']"
0,1answer,56,Implement a single iteration in Javascript,"So I came into this online test question, something like this : Write a function to check if the given value is a single digit. If it is not, add up all the numbers until it becomes a single digit. ...",javascript iteration,"['Dragon', '4955 bronze badges']"
"1
vote",2,31,"Reactjs, Passing data(id) from one component to another in order to download a song",Hi I am new to Reactjs and I'm practicing on a project of a music website. But there is an issue which I'm stuck with. Well there is a song page where I should show some songCards. import React from '...,javascript reactjs,"['Parastoo', '1111 bronze badge']"
2,1answer,27,Passing data from Main layout to subpages in Nextjs,"I'm trying to do something like this; I have a file called /components/master_layout.js and it has the following content: import useUser from ""../data/use-user""; function MasterLayout({ ...",javascript reactjs next.js,"['EarMoke', '1944 bronze badges']"
-1,1answer,25,New window with a cross,"On the website https://www.citilink.ru/, when you click on the Product catalog button, a window appears How (with the help of what technologies and feature) can you achieve the opening of a drop-down ...",javascript html css web layout,"['newbie seeker', '1922 bronze badges']"
0,0,17,Data fetching in NextJS in different scenarios,"currently I'm building a NextJS based website where I need to fetch data from a REST API. There are 2 pages where I need to fetch data, I'm detailing them below. Search Page: Here users can search ...",javascript reactjs next.js,"['Abhishek Chatterjee', '17211 silver badge1111 bronze badges']"
-1,2,22,How to obtain values of variables passed to ejs in a linked javascript file in electron,I am trying to build an electron app. An EJS file has variable values passed to it from the main process. I want to obtain these variables in the javascript file linked to renderer process. I tried ...,javascript node.js electron ejs,"['Sinadin Shan', '533 bronze badges']"
0,0,23,Waiting for data from two documents befre making a POST request,"I have a JSON file that I load into my node.js/ express.js app that looks like this : { ""DataSourceID_1"":""PWCTRX2"", ""DataSourceID_2"":""KALATM1"", .......",javascript node.js mongodb express mongoose,"['Max', '32222 silver badges1313 bronze badges']"
-1,0,17,Run a function when no actions from user for specified time,"I’ve got a function that delays javascript load to act on user interaction. Here’s the javascript function: class LazyLoadScripts { constructor(e) { this.triggerEvents = e, this.eventOptions = ...",javascript,"['akarim', '2111 silver badge44 bronze badges']"
-4,0,15,Can't select an element of youtube [closed],Hi I am not that good with web programming. I am working on a browser extension for youtube. The problem is I can't select an element by using querySelector or getElementById. Any help would be much ...,javascript html ajax youtube,"['mafia sasi', '1']"
0,0,9,React-native update values of array using hooks [duplicate],"I am new to react-native and i have problems with updating array elements ! I want to update values and then show it on the display. Here is my code so far : import React from ""react""; ...",javascript react-native,"['Nikola Marinov', '15177 bronze badges']"
0,0,18,Module parse failed: Unexpected character '@' (11:0) - Angular 7,One of my friend facing below error immediately after the compilation. I've gone through all SO solution but those are related to webpack.config.ts. But here in our project there no such file except ...,javascript angular typescript angular7,"['Mr. Learner', '76511 gold badge88 silver badges3434 bronze badges']"
0,0,45,Javascript HTML how to draw an image on a canvas every frame,"So, I'm trying to make a browser game, and Right now, I'm figuring out how to display an image via javascript. I've read a number of posts related to the subject, and about how image loading is ...",javascript html,"['Globin347', '15799 bronze badges']"
0,3,48,Solving non-square system of linear equations in Javascript,"I have a system of resistors, something like this: Resistor schematic I made a website which renders diagrams like this one (not this one exactly). The user can change resistance of each resistor. I ...",javascript math matrix physics,"['Juraj Petráš', '111 bronze badge']"
