Votes,Answers,Views,Question,Summary,Tags,User
0,0,9,Confused about infinite while loop with match() and test() method Regex [duplicate],"I have a question that"" it is the error or i missing something ?"" I'm learning Regex in javascript and got brower crash when trying to do this code: function myFunction() { var str = ""...",javascript,"['Hoàng An Lê', '1']"
-2,0,26,How i can send data the reponse the ajax to view please help me [closed],"$.ajax({ type :""POST"", url :""/saveVendre"", data :$(this).serialize(), dataType: 'json', success:function (...",javascript php jquery ajax laravel-8,"['Bilal Mannouti', '1']"
-1,1answer,24,Vue - how can i call another method from a callback? [duplicate],"I need to call the function get_data() once the function save_key() is done executing, the problem is that i get a Cannot read property 'get_data' of undefined error. I assume i'm getting it because ...",javascript vue.js,"['JayK23', '8511 silver badge1414 bronze badges']"
0,3,34,Why doesn't the innerText of the span element changed while I use for of loop to modify the innerText?,"const colors = [""green"", ""red"", ""rgba(133,122,200)"", ""#f15025""]; const colorIdentifier = document.querySelector('.color'); const button = document.getElementById('btn'); for (let color of colors) { ...",javascript html css loops dom,"['Jeatz', '144 bronze badges']"
0,1answer,31,Can't fetch local file,"It works when I fetch a tsv file remotely: // Works well fetch( `https://raw.githubusercontent.com/reactivemarkets/react-financial-charts/master/packages/stories/src/data/MINUTES.tsv`, ) .then(...",javascript reactjs typescript,"['Jase', '85711 gold badge77 silver badges2525 bronze badges']"
-1,2,24,javascript problem replacing string occurrence [duplicate],"i have the following code in my html page and as you can see i am trying to replace the occurrence of ""state"" with ""item"" and ""number"" with ""count"" in the ...",javascript,"['AmineBinOthman', '333 bronze badges']"
0,0,21,CSS overflow hidden issue on chrome when child has mix-blend-mode and animation,"I have an issue where the child element, with an animation, of a button with overflow: hidden does not correctly display on chrome but it works fine with firefox. I have tried every solution I found ...",javascript html css,"['Fyju', '1']"
-1,2,51,Importing Data In React,"I am trying to import data from a file dateUpdated.js into a Header.js file in React. I am getting an error TypeError: Object is not a function or its return value is not iterable, but I have seen it ...",javascript reactjs,"['Brian Smith', '1133 bronze badges']"
"1
vote",1answer,27,Flat array to tree Javascript,Looking for a javascript or typescript solution to turn this array of sql data into a tree structure: Some other solutions I've tried set the id as a property in the expected array but not the key of ...,javascript arrays tree,"['potatojoj', '1322 bronze badges']"
0,0,19,How to reset a select element so that the 'REQUIRED' attribute is prompted again?,"I have a select element (let's call it #select2) that I dynamically populate based on another select element (#select1). So basically, when the user selects an option in #select1 some options appear ...",javascript html,"['Kurka', '111 bronze badge']"
0,1answer,17,Why can't I assign the value of property in this case?,"Here's my code: let obj = {}; obj.__proto__ = ""some value""; console.log(obj.__proto__ == Object.prototype); Does it happen because of the set __proto__, which regulates the assignment ...",javascript object prototype proto,"['Heaven', '2544 bronze badges']"
0,3,28,.Net-Core object property string(Month/Year) is dividing in JS,"I have an object @application.MonthandYear that I'm sending to javascript to create another element. However, in javascript, the outcome of the property is divided value. Example: 08/21(month and year)...",javascript asp.net-mvc,"['Robert', '1533 bronze badges']"
